stage,dataset,config,judge,judge_raw,judge_model,interaction_id,file,overall,average,CAC,EPC,AR,TRA,ACQ
full,cpsycoun,S3,gpt,gpt,gpt-5.1,cpscycoun_career_3_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,3.75,3.0,3.0,3.0
full,cpsycoun,S3,gpt,gpt,gpt-5.1,cpscycoun_career_4_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.2,3.2,3.0,4.0,3.0,3.0,3.0
full,cpsycoun,S3,gpt,gpt,gpt-5.1,cpscycoun_career_4_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.0,3.0,3.0,4.0,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt,gpt-5.1,cpscycoun_career_4_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.5,3.5,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt,gpt-5.1,cpscycoun_career_5_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,3.0,3.5,2.5,2.5,2.5
full,cpsycoun,S3,gpt,gpt,gpt-5.1,cpscycoun_career_5_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.1,3.1,3.0,4.0,2.75,3.0,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_career_5_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.5,3.5,3.0,4.5,3.0,3.5,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_career_5_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.1,3.1,2.75,4.0,2.5,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_career_5_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.45,3.45,3.25,4.25,3.0,3.25,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.0,3.0,2.75,3.5,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_1_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,2.75,3.75,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_1_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_1_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,2.75,3.5,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_1_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,2.75,3.75,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_3_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,3.75,2.5,2.5,2.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_2_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.3,3.3,3.0,4.0,3.0,3.25,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_2_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_2_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.2,3.2,3.0,4.0,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_2_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,4.0,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,4.0,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_3_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.85,2.85,2.75,3.75,2.5,2.75,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_3_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.2,3.2,3.0,4.0,3.0,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_3_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,4.0,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_3_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.95,2.95,2.75,3.75,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_5_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,3.0,3.0,2.5,3.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_5_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.75,2.5,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_4_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.2,3.2,3.0,4.0,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_4_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.2,3.2,3.0,4.0,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_4_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,4.0,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.65,2.65,2.5,3.5,2.25,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_1_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.75,3.25,2.5,2.75,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_5_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.5,2.5,2.5,2.0,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_5_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.9,2.9,3.0,3.0,2.75,3.0,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_education_5_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.9,2.9,3.0,3.0,2.5,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_2_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.75,2.75,2.5,3.0,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_2_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.85,2.85,2.75,3.0,2.5,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_1_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.0,3.5,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_1_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.25,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_1_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.85,2.85,2.5,3.25,2.5,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.0,3.0,3.0,3.5,2.5,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_3_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.85,2.85,2.5,3.5,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_2_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.5,3.5,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_2_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.5,2.5,2.5,3.0,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_3_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.9,2.9,2.75,3.5,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.4,3.4,3.5,4.0,3.0,3.25,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_4_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,3.25,2.25,2.75,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_3_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.25,3.25,3.0,4.0,2.75,3.0,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_3_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.95,2.95,2.75,3.75,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_4_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.25,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_2_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.9,1.9,1.5,2.0,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_5_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,4.0,2.25,2.75,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_4_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.5,2.5,2.5,3.0,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_4_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.9,2.9,2.5,3.5,2.5,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_5_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.5,2.75,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.4,2.4,2.0,2.5,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_1_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.5,2.5,2.0,2.5,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_5_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,4.0,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_emotion_stress_5_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,4.0,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_1_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.25,3.25,3.25,4.0,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,4.0,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_2_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.8,1.8,1.5,2.0,1.5,2.0,2.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_1_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.1,3.1,3.0,3.5,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_1_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.4,3.4,3.25,4.25,3.0,3.0,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_3_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.9,1.9,1.5,2.0,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_2_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.0,2.5,2.75,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_3_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.0,2.0,1.5,2.5,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_2_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.7,1.7,1.0,2.0,1.0,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_2_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.9,1.9,1.5,2.0,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_4_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.35,2.35,2.0,2.5,2.0,2.5,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.3,2.3,2.0,3.0,2.0,2.25,2.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_4_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.3,2.3,2.0,2.5,2.0,2.25,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_3_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.5,1.5,1.0,2.0,1.0,1.5,2.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_3_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.8,1.8,1.5,2.0,1.5,2.0,2.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_5_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.3,2.3,2.0,2.5,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.25,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_5_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.4,2.4,2.0,2.5,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_4_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.2,2.2,1.75,2.25,1.75,2.25,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_4_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.9,1.9,1.5,2.0,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_1_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,3.0,3.5,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_2_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.95,2.95,2.75,3.25,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_1_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.85,2.85,3.0,3.5,2.5,2.75,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_5_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,1.9,1.9,1.5,2.0,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_family_relationship_5_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.25,2.25,2.0,2.75,2.0,2.25,2.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_3_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.05,2.05,1.5,2.0,1.75,2.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,3.0,3.5,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_2_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.4,2.4,2.0,2.5,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_1_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.5,3.5,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_1_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.0,3.0,3.0,3.5,2.75,3.0,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_4_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.3,2.3,2.0,3.0,2.0,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_self-growth_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.2,3.2,3.0,4.0,3.0,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_3_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.0,2.0,1.5,2.0,1.5,2.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_2_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.0,2.75,2.5,2.5,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_2_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.45,2.45,2.0,2.25,2.25,2.5,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_5_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,3.0,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_self-growth_2_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.55,2.55,2.0,3.25,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_4_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.75,3.25,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_3_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.25,3.25,3.0,4.0,2.75,3.0,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_3_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,2.5,3.5,2.75,3.0,3.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_1_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.45,2.45,2.0,3.0,2.0,2.5,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_self-growth_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.1,3.1,3.0,4.0,2.75,3.0,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_5_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.75,2.75,2.75,3.0,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_4_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.1,2.1,2.0,2.5,1.5,2.0,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_4_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.95,2.95,2.75,3.75,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_3_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.5,2.5,2.0,3.0,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_sex_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.75,2.75,2.25,2.75,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_1_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.5,2.5,2.0,3.0,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_5_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,3.5,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_love_marriage_5_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.5,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_4_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.9,2.9,3.0,3.5,2.5,2.75,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_sex_2_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.65,2.65,2.5,3.0,2.25,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_2_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.0,3.0,2.75,3.25,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_1_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.4,2.4,2.0,3.0,2.0,2.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_1_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,3.25,2.25,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_5_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.35,2.35,2.0,2.5,2.0,2.5,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_sex_4_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,3.0,3.25,2.75,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_3_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.5,2.5,2.0,3.0,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_2_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.65,2.65,2.5,3.5,2.0,2.25,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_2_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.65,2.65,2.5,3.0,2.25,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_self-growth_1_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.25,3.25,3.0,4.0,3.0,3.0,3.25
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_social_relationship_1_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.95,2.95,2.75,3.75,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_4_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.05,3.05,3.0,3.5,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_3_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.4,2.4,2.0,3.0,2.0,2.5,2.5
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_3_04,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.35,2.35,2.0,2.5,2.0,2.5,2.75
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_self-growth_3_06,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.6,2.6,2.0,3.5,2.0,2.5,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_social_relationship_3_08,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,3.15,3.15,3.0,4.0,2.75,3.0,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_5_10,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.7,2.7,2.5,2.75,2.5,2.75,3.0
full,cpsycoun,S3,gpt,gpt_9router,openai/cx/gpt-5.5,cpscycoun_mental_disease_4_02,CPsyCoun_S3_gpt_9router_full_judgments.jsonl,2.4,2.4,2.5,3.0,2.0,2.0,2.5
